"WAVE_ang" "FLUX_ergs_s_cm2_ang"
3600 NA
3600.5 NA
3601 NA
3601.5 NA
3602 NA
3602.5 NA
3603 NA
3603.5 NA
3604 NA
3604.5 NA
3605 NA
3605.5 NA
3606 NA
3606.5 NA
3607 NA
3607.5 NA
3608 NA
3608.5 NA
3609 NA
3609.5 NA
3610 NA
3610.5 NA
3611 NA
3611.5 NA
3612 NA
3612.5 NA
3613 NA
3613.5 NA
3614 NA
3614.5 NA
3615 NA
3615.5 NA
3616 NA
3616.5 NA
3617 NA
3617.5 NA
3618 NA
3618.5 NA
3619 NA
3619.5 NA
3620 NA
3620.5 NA
3621 NA
3621.5 NA
3622 NA
3622.5 NA
3623 NA
3623.5 NA
3624 NA
3624.5 NA
3625 NA
3625.5 NA
3626 NA
3626.5 NA
3627 NA
3627.5 NA
3628 NA
3628.5 NA
3629 NA
3629.5 NA
3630 NA
3630.5 NA
3631 NA
3631.5 NA
3632 NA
3632.5 NA
3633 NA
3633.5 NA
3634 NA
3634.5 NA
3635 NA
3635.5 NA
3636 NA
3636.5 NA
3637 NA
3637.5 NA
3638 NA
3638.5 NA
3639 NA
3639.5 NA
3640 NA
3640.5 NA
3641 NA
3641.5 NA
3642 NA
3642.5 NA
3643 NA
3643.5 NA
3644 NA
3644.5 NA
3645 NA
3645.5 NA
3646 NA
3646.5 NA
3647 NA
3647.5 NA
3648 NA
3648.5 NA
3649 NA
3649.5 NA
3650 NA
3650.5 NA
3651 NA
3651.5 NA
3652 NA
3652.5 NA
3653 NA
3653.5 NA
3654 NA
3654.5 NA
3655 NA
3655.5 NA
3656 NA
3656.5 NA
3657 NA
3657.5 NA
3658 NA
3658.5 NA
3659 NA
3659.5 NA
3660 NA
3660.5 NA
3661 NA
3661.5 NA
3662 NA
3662.5 NA
3663 NA
3663.5 NA
3664 NA
3664.5 NA
3665 NA
3665.5 NA
3666 NA
3666.5 NA
3667 NA
3667.5 NA
3668 NA
3668.5 NA
3669 NA
3669.5 NA
3670 NA
3670.5 NA
3671 NA
3671.5 NA
3672 NA
3672.5 NA
3673 NA
3673.5 NA
3674 NA
3674.5 NA
3675 NA
3675.5 NA
3676 NA
3676.5 NA
3677 NA
3677.5 NA
3678 NA
3678.5 NA
3679 NA
3679.5 NA
3680 NA
3680.5 NA
3681 NA
3681.5 NA
3682 NA
3682.5 NA
3683 NA
3683.5 NA
3684 NA
3684.5 NA
3685 NA
3685.5 NA
3686 NA
3686.5 NA
3687 NA
3687.5 NA
3688 NA
3688.5 NA
3689 NA
3689.5 NA
3690 NA
3690.5 NA
3691 NA
3691.5 NA
3692 NA
3692.5 NA
3693 NA
3693.5 NA
3694 NA
3694.5 NA
3695 NA
3695.5 NA
3696 NA
3696.5 NA
3697 NA
3697.5 NA
3698 NA
3698.5 NA
3699 NA
3699.5 NA
3700 NA
3700.5 NA
3701 NA
3701.5 NA
3702 NA
3702.5 NA
3703 NA
3703.5 NA
3704 NA
3704.5 NA
3705 NA
3705.5 NA
3706 NA
3706.5 NA
3707 NA
3707.5 NA
3708 NA
3708.5 NA
3709 NA
3709.5 NA
3710 NA
3710.5 NA
3711 NA
3711.5 NA
3712 NA
3712.5 NA
3713 NA
3713.5 NA
3714 NA
3714.5 NA
3715 NA
3715.5 NA
3716 NA
3716.5 NA
3717 NA
3717.5 NA
3718 NA
3718.5 NA
3719 NA
3719.5 NA
3720 NA
3720.5 NA
3721 NA
3721.5 NA
3722 NA
3722.5 NA
3723 NA
3723.5 NA
3724 NA
3724.5 NA
3725 NA
3725.5 NA
3726 NA
3726.5 NA
3727 NA
3727.5 NA
3728 NA
3728.5 NA
3729 NA
3729.5 NA
3730 NA
3730.5 NA
3731 NA
3731.5 NA
3732 NA
3732.5 NA
3733 NA
3733.5 NA
3734 NA
3734.5 NA
3735 NA
3735.5 NA
3736 NA
3736.5 NA
3737 NA
3737.5 NA
3738 NA
3738.5 NA
3739 NA
3739.5 NA
3740 NA
3740.5 NA
3741 NA
3741.5 NA
3742 NA
3742.5 NA
3743 NA
3743.5 NA
3744 NA
3744.5 NA
3745 NA
3745.5 NA
3746 NA
3746.5 NA
3747 NA
3747.5 NA
3748 NA
3748.5 NA
3749 NA
3749.5 NA
3750 NA
3750.5 NA
3751 NA
3751.5 NA
3752 NA
3752.5 NA
3753 NA
3753.5 NA
3754 NA
3754.5 NA
3755 NA
3755.5 NA
3756 NA
3756.5 NA
3757 NA
3757.5 NA
3758 NA
3758.5 NA
3759 NA
3759.5 NA
3760 NA
3760.5 NA
3761 NA
3761.5 NA
3762 NA
3762.5 NA
3763 NA
3763.5 NA
3764 NA
3764.5 NA
3765 NA
3765.5 NA
3766 NA
3766.5 NA
3767 NA
3767.5 NA
3768 NA
3768.5 NA
3769 NA
3769.5 NA
3770 NA
3770.5 NA
3771 NA
3771.5 NA
3772 NA
3772.5 NA
3773 NA
3773.5 NA
3774 NA
3774.5 NA
3775 NA
3775.5 NA
3776 NA
3776.5 NA
3777 NA
3777.5 NA
3778 NA
3778.5 NA
3779 NA
3779.5 NA
3780 NA
3780.5 NA
3781 NA
3781.5 NA
3782 NA
3782.5 NA
3783 NA
3783.5 NA
3784 NA
3784.5 NA
3785 NA
3785.5 NA
3786 NA
3786.5 NA
3787 NA
3787.5 NA
3788 NA
3788.5 NA
3789 NA
3789.5 NA
3790 NA
3790.5 NA
3791 NA
3791.5 NA
3792 NA
3792.5 NA
3793 NA
3793.5 NA
3794 NA
3794.5 NA
3795 NA
3795.5 NA
3796 NA
3796.5 NA
3797 NA
3797.5 NA
3798 NA
3798.5 NA
3799 NA
3799.5 NA
3800 NA
3800.5 NA
3801 NA
3801.5 NA
3802 NA
3802.5 NA
3803 NA
3803.5 NA
3804 NA
3804.5 NA
3805 NA
3805.5 NA
3806 NA
3806.5 NA
3807 NA
3807.5 NA
3808 NA
3808.5 NA
3809 NA
3809.5 NA
3810 NA
3810.5 NA
3811 NA
3811.5 NA
3812 NA
3812.5 NA
3813 NA
3813.5 NA
3814 NA
3814.5 NA
3815 NA
3815.5 NA
3816 NA
3816.5 NA
3817 NA
3817.5 NA
3818 NA
3818.5 NA
3819 NA
3819.5 NA
3820 NA
3820.5 NA
3821 NA
3821.5 NA
3822 NA
3822.5 NA
3823 NA
3823.5 NA
3824 NA
3824.5 NA
3825 NA
3825.5 NA
3826 NA
3826.5 NA
3827 NA
3827.5 NA
3828 NA
3828.5 NA
3829 NA
3829.5 NA
3830 NA
3830.5 NA
3831 NA
3831.5 NA
3832 NA
3832.5 NA
3833 NA
3833.5 NA
3834 NA
3834.5 NA
3835 NA
3835.5 NA
3836 NA
3836.5 NA
3837 NA
3837.5 NA
3838 NA
3838.5 NA
3839 NA
3839.5 NA
3840 NA
3840.5 NA
3841 NA
3841.5 NA
3842 NA
3842.5 NA
3843 NA
3843.5 NA
3844 NA
3844.5 NA
3845 NA
